,id,vehicle.trip.trip_id,vehicle.trip.start_time,vehicle.trip.start_date,vehicle.trip.schedule_relationship,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.current_stop_sequence,vehicle.current_status,vehicle.timestamp,vehicle.stop_id,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status
0,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.93341827392578,-77.07974243164062,133.0,8.839200019836426,36.0,1.0,1771257515,7752,4582,4582,7
1,5461,18632100,09:36:00,20260216,0.0,C53,0.0,38.92353057861328,-77.0519790649414,,0.0,63.0,1.0,1771257489,7219,5461,5461,7
2,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.91215133666992,-77.01222229003906,119.0,7.924799919128418,19.0,1.0,1771257503,17574,5463,5463,1
3,5464,14078100,10:00:00,20260216,0.0,C53,0.0,38.91593933105469,-77.02111053466797,299.0,10.972800254821777,52.0,2.0,1771257511,6843,5464,5464,1
4,5466,25836100,11:00:00,20260216,0.0,C53,0.0,38.845279693603516,-76.98761749267578,,0.0,2.0,1.0,1771257507,13111,5466,5466,7
5,5470,8560100,10:48:00,20260216,0.0,C53,1.0,38.91701889038086,-77.03713989257812,,0.0,9.0,1.0,1771257494,6879,5470,5470,1
6,5473,8428100,09:48:00,20260216,0.0,C53,0.0,38.923519134521484,-77.05210876464844,265.0,4.572000026702881,63.0,1.0,1771257482,7219,5473,5473,1
7,5475,14639100,11:12:00,20260216,0.0,C53,0.0,38.84621047973633,-76.98796844482422,,0.0,2.0,1.0,1771257509,13111,5475,5475,7
8,5481,1115100,10:12:00,20260216,0.0,C53,0.0,38.904991149902344,-76.99542236328125,298.0,7.924799919128418,41.0,2.0,1771257490,28286,5481,5481,1
9,5479,842100,10:24:00,20260216,0.0,C53,0.0,38.8785400390625,-76.99497985839844,359.0,8.839200019836426,29.0,2.0,1771257504,4520,5479,5479,1
10,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.90668869018555,-77.02191925048828,2.0,11.58240032196045,11.0,1.0,1771257501,6316,7220,7220,1
11,7223,28463100,10:30:00,20260216,0.0,D40,0.0,38.93912887573242,-77.02481842041016,352.0,7.924799919128418,28.0,2.0,1771257487,8038,7223,7223,2
12,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.89487075805664,-76.99495697021484,179.0,6.705599784851074,32.0,1.0,1771257512,5472,2838,2838,1
13,2836,20534100,11:00:00,20260216,0.0,C53,1.0,38.923519134521484,-77.05106353759766,,0.0,2.0,1.0,1771257514,7272,2836,2836,7
14,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94607925415039,-77.09706115722656,,0.0,45.0,1.0,1771257510,8329,4603,4603,7
15,5509,3131100,11:15:00,20260216,0.0,D40,0.0,38.89208984375,-77.02387237548828,,0.0,2.0,1.0,1771257495,21789,5509,5509,7
16,5500,269100,09:45:00,20260216,0.0,D40,1.0,38.89223098754883,-77.02388763427734,,0.0,59.0,2.0,1771257515,21789,5500,5500,7
17,5501,7421100,10:30:00,20260216,0.0,D40,1.0,38.942230224609375,-77.0256118774414,165.0,6.705599784851074,29.0,1.0,1771257510,8180,5501,5501,7
18,5505,6934100,11:15:00,20260216,0.0,D40,1.0,38.99338150024414,-77.02945709228516,,0.0,2.0,1.0,1771257489,18907,5505,5505,7
19,5513,16087100,10:45:00,20260216,0.0,D40,1.0,38.97895050048828,-77.02645111083984,174.0,7.619999885559082,11.0,1.0,1771257514,9597,5513,5513,7
20,5516,5358100,10:00:00,20260216,0.0,C53,1.0,38.850650787353516,-76.9754867553711,,0.0,61.0,1.0,1771257504,2787,5516,5516,7
21,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993438720703125,-77.03016662597656,,0.0,2.0,1.0,1771257506,18907,5525,5525,7
22,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.97182846069336,-77.0270767211914,6.0,8.839200019836426,45.0,1.0,1771257509,19057,5533,5533,7
23,5537,5326100,10:12:00,20260216,0.0,C53,1.0,38.86690139770508,-76.98580169677734,103.0,10.363200187683105,47.0,1.0,1771257504,3736,5537,5537,7
24,5538,21117100,10:48:00,20260216,0.0,C53,0.0,38.849708557128906,-76.97709655761719,36.0,7.619999885559082,9.0,2.0,1771257492,2793,5538,5538,7
25,5539,13300100,10:36:00,20260216,0.0,C53,0.0,38.86582946777344,-76.97987365722656,282.0,7.924799919128418,19.0,1.0,1771257505,3679,5539,5539,7
26,7146,20942100,11:00:00,20260216,0.0,D96,1.0,38.984588623046875,-77.09590148925781,,0.0,2.0,1.0,1771257491,28523,7146,7146,7
27,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.93307113647461,-77.0792465209961,133.0,13.411199569702148,36.0,1.0,1771257520,7752,4582,4582,7
28,5461,18632100,09:36:00,20260216,0.0,C53,0.0,38.92353057861328,-77.0519790649414,,0.0,63.0,1.0,1771257520,7219,5461,5461,7
32,5470,8560100,10:48:00,20260216,0.0,C53,1.0,38.91701889038086,-77.03713989257812,,0.0,9.0,1.0,1771257524,6879,5470,5470,1
33,5473,22340100,11:24:00,20260216,0.0,C53,1.0,38.92380142211914,-77.0526123046875,1.0,5.486400127410889,2.0,1.0,1771257523,7272,5473,5473,1
35,5481,1115100,10:12:00,20260216,0.0,C53,0.0,38.905311584472656,-76.9961166381836,297.0,8.229599952697754,41.0,1.0,1771257526,28286,5481,5481,7
37,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.907310485839844,-77.02191925048828,357.0,8.53439998626709,11.0,1.0,1771257526,6316,7220,7220,1
